GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2025-05-11T13:12:23,38.5396547,-121.7987150,,124,,0.00,,65535,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.129,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:24,38.5396556,-121.7986788,,124,,3.12,,69,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.218,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:25,38.5396553,-121.7986373,,125,,6.82,,69,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.334,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:26,38.5396552,-121.7985862,,126,45,11.18,,70,,,,,,30,,,,,,,,,,,,,,,,207,176,,,,,,,,,,,,,255,255,255,255,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,15.685,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:27,38.5396533,-121.7985292,,127,52,15.97,,213,,,,,,30,,,,,,,,,,,,,,,,420,176,,,,,,,,,,,,,0.0,0.0,29.0,28.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,17.266,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:28,38.5396509,-121.7984696,,128,52,21.25,,156,,,,,,30,,,,,,,,,,,,,,,,420,176,,,,,,,,,,,,,0.0,0.0,31.0,33.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,18.979,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:29,38.5396485,-121.7984075,,129,61,26.90,,156,,,,,,30,,,,,,,,,,,,,,,,732,175,,,,,,,,,,,,,0.0,0.0,31.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,20.354,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:30,38.5396456,-121.7983379,,130,63,32.75,,85,,,,,,30,,,,,,,,,,,,,,,,817,168,,,,,,,,,,,,,0.0,0.0,31.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.060,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:31,38.5396436,-121.7982674,,131,63,38.67,,101,,,,,,30,,,,,,,,,,,,,,,,918,192,,,,,,,,,,,,,0.0,0.0,31.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.298,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:32,38.5396444,-121.7982014,,132,64,44.66,,37,,,,,,30,,,,,,,,,,,,,,,,955,173,,,,,,,,,,,,,0.0,0.0,33.0,29.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.564,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:33,38.5396458,-121.7981314,,133,64,50.62,,26,,,,,,30,,,,,,,,,,,,,,,,981,195,,,,,,,,,,,,,0.0,0.0,33.0,29.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.463,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:34,38.5396450,-121.7980628,,133,64,56.57,,24,,,,,,30,,,,,,,,,,,,,,,,1005,178,,,,,,,,,,,,,0.0,0.0,16.0,19.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.398,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:35,38.5396428,-121.7979938,,133,64,62.52,,21,,,,,,30,,,,,,,,,,,,,,,,1026,172,,,,,,,,,,,,,0.0,0.0,16.0,13.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.431,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:36,38.5396405,-121.7979258,,133,64,68.43,,6,,,,,,30,,,,,,,,,,,,,,,,1032,158,,,,,,,,,,,,,0.0,0.0,14.0,11.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.298,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T13:12:37,38.5396392,-121.7978588,,132,64,74.36,,15,,,,,,30,,,,,,,,,,,,,,,,1047,215,,,,,,,,,,,,,0.0,0.0,6.0,10.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.330,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
