GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2025-05-11T12:09:40,38.5396480,-121.7979619,,117,,0.00,,65535,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.600,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:41,38.5396476,-121.7979175,,118,,3.38,,94,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.161,,,,,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:42,38.5396473,-121.7978677,,119,54,7.27,,94,,,,,,29,,,,,,,,,,,,,,,,187,177,,,,,,,,,,,,,0.0,0.0,0.0,29.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,14.008,,,,,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:43,38.5396456,-121.7978157,,121,56,11.60,,75,,,,,,29,,,,,,,,,,,,,,,,262,157,,,,,,,,,,,,,0.0,0.0,30.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,15.584,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:44,38.5396439,-121.7977611,,122,63,16.16,,101,,,,,,29,,,,,,,,,,,,,,,,363,183,,,,,,,,,,,,,0.0,0.0,29.0,32.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,16.427,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:45,38.5396412,-121.7977042,,123,64,20.96,,126,,,,,,29,,,,,,,,,,,,,,,,489,187,,,,,,,,,,,,,0.0,0.0,32.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,17.266,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:46,38.5396393,-121.7976439,,124,68,26.00,,107,,,,,,29,,,,,,,,,,,,,,,,596,191,,,,,,,,,,,,,0.0,0.0,23.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,18.173,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:47,38.5396386,-121.7975817,,125,68,31.28,,97,,,,,,29,,,,,,,,,,,,,,,,596,191,,,,,,,,,,,,,0.0,0.0,23.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,18.979,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:48,38.5396377,-121.7975176,,127,72,36.73,,97,,,,,,29,,,,,,,,,,,,,,,,790,186,,,,,,,,,,,,,0.0,0.0,23.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,19.616,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:49,38.5396366,-121.7974513,,127,73,42.31,,93,,,,,,29,,,,,,,,,,,,,,,,883,180,,,,,,,,,,,,,0.0,0.0,28.0,34.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,20.120,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:50,38.5396358,-121.7973843,,127,75,48.03,,83,,,,,,29,,,,,,,,,,,,,,,,966,177,,,,,,,,,,,,,0.0,0.0,32.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,20.592,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:51,38.5396347,-121.7973164,,127,78,53.83,,99,,,,,,29,,,,,,,,,,,,,,,,1065,178,,,,,,,,,,,,,0.0,0.0,29.0,34.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,20.858,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:52,38.5396325,-121.7972487,,127,79,59.70,,87,,,,,,29,,,,,,,,,,,,,,,,1152,180,,,,,,,,,,,,,0.0,0.0,29.0,34.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.128,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:53,38.5396313,-121.7971803,,127,80,65.64,,56,,,,,,29,,,,,,,,,,,,,,,,1208,167,,,,,,,,,,,,,0.0,0.0,29.0,34.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.398,,,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:54,38.5396296,-121.7971130,,127,81,71.59,,30,,,,,,29,,,,,,,,,,,,,,,,1238,162,,,,,,,,,,,,,0.0,0.0,18.0,8.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.398,,,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:55,38.5396280,-121.7970460,,127,79,77.54,,7,,,,,,29,,,,,,,,,,,,,,,,1238,162,,,,,,,,,,,,,255,255,255,255,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.431,,,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:56,38.5396262,-121.7969797,,126,78,83.38,,8,,,,,,29,,,,,,,,,,,,,,,,1253,225,,,,,,,,,,,,,0.0,0.0,0.0,8.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.028,,,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:57,38.5396261,-121.7969137,,127,79,89.22,,39,,,,,,29,,,,,,,,,,,,,,,,1292,175,,,,,,,,,,,,,0.0,0.0,0.0,8.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.028,,,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:58,38.5396252,-121.7968485,,127,79,95.00,,48,,,,,,29,,,,,,,,,,,,,,,,1340,185,,,,,,,,,,,,,0.0,0.0,19.0,22.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,20.826,,,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:09:59,38.5396237,-121.7967831,,127,79,100.79,,73,,,,,,29,,,,,,,,,,,,,,,,1413,189,,,,,,,,,,,,,0.0,0.0,16.0,26.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,20.826,,,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
