Time,WindAD,WindMPH,TempAD,TempC
2025-05-11T11:55:15,436,10.46,209,31.82
2025-05-11T11:55:16,446,12.65,202,30.07
2025-05-11T11:55:17,419,7.36,200,29.57
2025-05-11T11:55:18,423,8.02,203,30.32
2025-05-11T11:55:20,415,6.74,204,30.57
2025-05-11T11:55:21,444,12.19,205,30.82
2025-05-11T11:55:22,411,6.16,202,30.07
2025-05-11T11:55:23,384,3.11,201,29.82
2025-05-11T11:55:24,393,3.97,200,29.57
2025-05-11T11:55:25,437,10.66,203,30.32
2025-05-11T11:55:26,462,16.80,202,30.07
2025-05-11T11:55:27,461,16.51,202,30.07
2025-05-11T11:55:28,470,19.20,205,30.82
2025-05-11T11:55:29,450,13.61,205,30.82
2025-05-11T11:55:30,450,13.61,204,30.57
2025-05-11T11:55:31,435,10.25,203,30.32
2025-05-11T11:55:32,429,9.09,204,30.57
2025-05-11T11:55:33,421,7.69,203,30.32
2025-05-11T11:55:34,452,14.11,205,30.82
2025-05-11T11:55:35,461,16.51,207,31.32
2025-05-11T11:55:36,466,17.97,206,31.07
2025-05-11T11:55:37,476,21.14,204,30.57
2025-05-11T11:55:38,480,22.52,203,30.32
2025-05-11T11:55:39,480,22.52,202,30.07
2025-05-11T11:55:40,480,22.52,203,30.32
2025-05-11T11:55:41,478,21.82,204,30.57
2025-05-11T11:55:42,472,19.83,204,30.57
2025-05-11T11:55:43,481,22.87,207,31.32
2025-05-11T11:55:44,481,22.87,209,31.82
2025-05-11T11:55:45,481,22.87,208,31.57
2025-05-11T11:55:46,480,22.52,207,31.32
2025-05-11T11:55:47,481,22.87,207,31.32
2025-05-11T11:55:48,481,22.87,209,31.82
2025-05-11T11:55:49,481,22.87,210,32.07
2025-05-11T11:55:50,481,22.87,212,32.57
2025-05-11T11:55:51,481,22.87,212,32.57
2025-05-11T11:55:52,481,22.87,211,32.32
2025-05-11T11:55:53,481,22.87,211,32.32
2025-05-11T11:55:54,481,22.87,212,32.57
2025-05-11T11:55:55,481,22.87,211,32.32
2025-05-11T11:55:56,481,22.87,211,32.32
2025-05-11T11:55:57,481,22.87,212,32.57
2025-05-11T11:55:58,480,22.52,209,31.82
2025-05-11T11:55:59,480,22.52,207,31.32
2025-05-11T11:56:00,480,22.52,207,31.32
2025-05-11T11:56:01,481,22.87,210,32.07
2025-05-11T11:56:02,481,22.87,211,32.32
2025-05-11T11:56:03,481,22.87,211,32.32
2025-05-11T11:56:04,481,22.87,210,32.07
2025-05-11T11:56:05,480,22.52,210,32.07
2025-05-11T11:56:06,480,22.52,209,31.82
2025-05-11T11:56:08,480,22.52,207,31.32
2025-05-11T11:56:09,480,22.52,208,31.57
2025-05-11T11:56:10,480,22.52,209,31.82
2025-05-11T11:56:11,480,22.52,209,31.82
2025-05-11T11:56:12,480,22.52,209,31.82
2025-05-11T11:56:13,480,22.52,208,31.57
2025-05-11T11:56:14,480,22.52,209,31.82
2025-05-11T11:56:15,480,22.52,209,31.82
2025-05-11T11:56:16,480,22.52,209,31.82
2025-05-11T11:56:17,481,22.87,209,31.82
2025-05-11T11:56:18,481,22.87,211,32.32
2025-05-11T11:56:19,481,22.87,212,32.57
2025-05-11T11:56:20,481,22.87,212,32.57
2025-05-11T11:56:21,481,22.87,211,32.32
2025-05-11T11:56:22,481,22.87,212,32.57
2025-05-11T11:56:23,481,22.87,211,32.32
2025-05-11T11:56:24,481,22.87,211,32.32
2025-05-11T11:56:25,481,22.87,210,32.07
2025-05-11T11:56:26,481,22.87,210,32.07
2025-05-11T11:56:27,481,22.87,212,32.57
2025-05-11T11:56:28,481,22.87,211,32.32
2025-05-11T11:56:29,481,22.87,213,32.82
2025-05-11T11:56:30,481,22.87,212,32.57
2025-05-11T11:56:31,481,22.87,211,32.32
2025-05-11T11:56:32,481,22.87,213,32.82
2025-05-11T11:56:33,482,23.23,215,33.32
2025-05-11T11:56:34,482,23.23,219,34.32
2025-05-11T11:56:35,482,23.23,222,35.08
2025-05-11T11:56:36,482,23.23,220,34.58
2025-05-11T11:56:37,481,22.87,221,34.83
2025-05-11T11:56:38,481,22.87,222,35.08
2025-05-11T11:56:39,482,23.23,223,35.33
2025-05-11T11:56:40,481,22.87,223,35.33
2025-05-11T11:56:41,481,22.87,221,34.83
2025-05-11T11:56:42,481,22.87,222,35.08
2025-05-11T11:56:43,482,23.23,224,35.58
2025-05-11T11:56:44,482,23.23,221,34.83
2025-05-11T11:56:45,481,22.87,220,34.58
2025-05-11T11:56:46,481,22.87,219,34.32
2025-05-11T11:56:47,481,22.87,217,33.82
2025-05-11T11:56:48,481,22.87,217,33.82
2025-05-11T11:56:49,481,22.87,218,34.07
2025-05-11T11:56:50,481,22.87,220,34.58
2025-05-11T11:56:51,481,22.87,220,34.58
2025-05-11T11:56:52,481,22.87,217,33.82
2025-05-11T11:56:53,480,22.52,215,33.32
2025-05-11T11:56:55,480,22.52,213,32.82
2025-05-11T11:56:56,480,22.52,214,33.07
2025-05-11T11:56:57,481,22.87,214,33.07
2025-05-11T11:56:58,481,22.87,216,33.57
2025-05-11T11:56:59,481,22.87,217,33.82
2025-05-11T11:57:00,481,22.87,217,33.82
2025-05-11T11:57:01,481,22.87,218,34.07
2025-05-11T11:57:02,481,22.87,217,33.82
2025-05-11T11:57:03,481,22.87,217,33.82
2025-05-11T11:57:04,481,22.87,221,34.83
2025-05-11T11:57:05,481,22.87,221,34.83
2025-05-11T11:57:06,481,22.87,220,34.58
2025-05-11T11:57:07,481,22.87,222,35.08
2025-05-11T11:57:08,481,22.87,222,35.08
2025-05-11T11:57:09,481,22.87,220,34.58
2025-05-11T11:57:10,480,22.52,218,34.07
2025-05-11T11:57:11,480,22.52,217,33.82
