Time,WindAD,WindMPH,TempAD,TempC
2025-05-11T12:05:56,483,23.59,229,36.83
2025-05-11T12:05:57,436,10.46,216,33.57
2025-05-11T12:05:58,452,14.11,216,33.57
2025-05-11T12:05:59,444,12.19,216,33.57
2025-05-11T12:06:00,474,20.48,218,34.07
2025-05-11T12:06:01,460,16.23,216,33.57
2025-05-11T12:06:02,480,22.52,217,33.82
2025-05-11T12:06:03,455,14.88,217,33.82
2025-05-11T12:06:04,402,4.98,217,33.82
2025-05-11T12:06:05,411,6.16,218,34.07
2025-05-11T12:06:06,431,9.47,220,34.58
2025-05-11T12:06:07,450,13.61,220,34.58
2025-05-11T12:06:08,471,19.51,221,34.83
2025-05-11T12:06:09,462,16.80,221,34.83
2025-05-11T12:06:10,465,17.67,220,34.58
2025-05-11T12:06:11,482,23.23,221,34.83
2025-05-11T12:06:12,482,23.23,220,34.58
2025-05-11T12:06:13,482,23.23,220,34.58
2025-05-11T12:06:14,482,23.23,220,34.58
2025-05-11T12:06:15,482,23.23,219,34.32
2025-05-11T12:06:16,482,23.23,220,34.58
2025-05-11T12:06:17,482,23.23,222,35.08
2025-05-11T12:06:18,482,23.23,223,35.33
2025-05-11T12:06:19,479,22.17,224,35.58
2025-05-11T12:06:20,477,21.48,226,36.08
2025-05-11T12:06:21,482,23.23,227,36.33
2025-05-11T12:06:22,482,23.23,227,36.33
2025-05-11T12:06:23,482,23.23,227,36.33
2025-05-11T12:06:24,482,23.23,226,36.08
2025-05-11T12:06:25,482,23.23,226,36.08
2025-05-11T12:06:26,476,21.14,226,36.08
2025-05-11T12:06:27,482,23.23,226,36.08
2025-05-11T12:06:28,482,23.23,226,36.08
2025-05-11T12:06:29,481,22.87,226,36.08
2025-05-11T12:06:30,482,23.23,227,36.33
2025-05-11T12:06:31,481,22.87,226,36.08
2025-05-11T12:06:32,482,23.23,227,36.33
2025-05-11T12:06:33,482,23.23,229,36.83
2025-05-11T12:06:34,482,23.23,229,36.83
2025-05-11T12:06:35,481,22.87,228,36.58
2025-05-11T12:06:36,481,22.87,226,36.08
2025-05-11T12:06:38,481,22.87,225,35.83
2025-05-11T12:06:39,481,22.87,224,35.58
2025-05-11T12:06:40,481,22.87,223,35.33
2025-05-11T12:06:41,481,22.87,223,35.33
2025-05-11T12:06:42,482,23.23,222,35.08
2025-05-11T12:06:43,481,22.87,223,35.33
2025-05-11T12:06:44,482,23.23,222,35.08
2025-05-11T12:06:45,481,22.87,223,35.33
2025-05-11T12:06:46,480,22.52,222,35.08
2025-05-11T12:06:47,481,22.87,222,35.08
2025-05-11T12:06:48,481,22.87,222,35.08
2025-05-11T12:06:49,481,22.87,223,35.33
2025-05-11T12:06:50,481,22.87,223,35.33
2025-05-11T12:06:51,481,22.87,223,35.33
2025-05-11T12:06:52,481,22.87,224,35.58
2025-05-11T12:06:53,481,22.87,224,35.58
2025-05-11T12:06:54,481,22.87,223,35.33
2025-05-11T12:06:55,481,22.87,224,35.58
2025-05-11T12:06:56,481,22.87,224,35.58
2025-05-11T12:06:57,481,22.87,225,35.83
2025-05-11T12:06:58,481,22.87,225,35.83
2025-05-11T12:06:59,482,23.23,228,36.58
2025-05-11T12:07:00,482,23.23,228,36.58
2025-05-11T12:07:01,482,23.23,228,36.58
2025-05-11T12:07:02,481,22.87,227,36.33
2025-05-11T12:07:03,481,22.87,227,36.33
2025-05-11T12:07:04,481,22.87,226,36.08
2025-05-11T12:07:05,481,22.87,224,35.58
2025-05-11T12:07:06,481,22.87,224,35.58
2025-05-11T12:07:07,481,22.87,224,35.58
2025-05-11T12:07:08,481,22.87,223,35.33
2025-05-11T12:07:09,482,23.23,224,35.58
2025-05-11T12:07:10,481,22.87,223,35.33
2025-05-11T12:07:11,482,23.23,223,35.33
2025-05-11T12:07:12,482,23.23,223,35.33
2025-05-11T12:07:13,482,23.23,224,35.58
2025-05-11T12:07:14,482,23.23,226,36.08
2025-05-11T12:07:15,482,23.23,226,36.08
2025-05-11T12:07:16,482,23.23,226,36.08
2025-05-11T12:07:17,482,23.23,225,35.83
2025-05-11T12:07:18,482,23.23,225,35.83
2025-05-11T12:07:19,482,23.23,226,36.08
