Time,WindAD,WindMPH,TempAD,TempC
2025-05-11T11:27:28,444,12.19,211,32.32
2025-05-11T11:27:29,414,6.59,202,30.07
2025-05-11T11:27:30,399,4.62,201,29.82
2025-05-11T11:27:31,395,4.18,199,29.32
2025-05-11T11:27:32,400,4.74,198,29.07
2025-05-11T11:27:33,411,6.16,198,29.07
2025-05-11T11:27:34,390,3.67,198,29.07
2025-05-11T11:27:35,383,3.02,199,29.32
2025-05-11T11:27:36,389,3.57,200,29.57
2025-05-11T11:27:37,398,4.51,200,29.57
2025-05-11T11:27:38,375,2.39,200,29.57
2025-05-11T11:27:40,395,4.18,201,29.82
2025-05-11T11:27:41,410,6.02,202,30.07
2025-05-11T11:27:42,425,8.37,203,30.32
2025-05-11T11:27:43,446,12.65,204,30.57
2025-05-11T11:27:44,442,11.74,204,30.57
2025-05-11T11:27:45,444,12.19,202,30.07
2025-05-11T11:27:46,441,11.51,201,29.82
2025-05-11T11:27:47,424,8.20,200,29.57
2025-05-11T11:27:48,429,9.09,201,29.82
2025-05-11T11:27:49,453,14.36,202,30.07
2025-05-11T11:27:50,449,13.36,203,30.32
2025-05-11T11:27:51,471,19.51,203,30.32
2025-05-11T11:27:52,464,17.38,201,29.82
2025-05-11T11:27:53,445,12.41,200,29.57
2025-05-11T11:27:54,449,13.36,200,29.57
2025-05-11T11:27:55,460,16.23,200,29.57
2025-05-11T11:27:56,472,19.83,200,29.57
2025-05-11T11:27:57,465,17.67,200,29.57
2025-05-11T11:27:58,467,18.27,201,29.82
2025-05-11T11:27:59,463,17.09,201,29.82
2025-05-11T11:28:00,474,20.48,201,29.82
2025-05-11T11:28:01,452,14.11,200,29.57
2025-05-11T11:28:02,455,14.88,201,29.82
2025-05-11T11:28:03,456,15.14,202,30.07
2025-05-11T11:28:04,459,15.96,205,30.82
2025-05-11T11:28:05,461,16.51,206,31.07
2025-05-11T11:28:06,476,21.14,206,31.07
2025-05-11T11:28:07,473,20.15,204,30.57
2025-05-11T11:28:08,466,17.97,202,30.07
2025-05-11T11:28:09,453,14.36,200,29.57
2025-05-11T11:28:10,462,16.80,201,29.82
2025-05-11T11:28:11,459,15.96,202,30.07
2025-05-11T11:28:12,467,18.27,203,30.32
2025-05-11T11:28:13,450,13.61,203,30.32
2025-05-11T11:28:14,468,18.57,204,30.57
2025-05-11T11:28:15,460,16.23,204,30.57
2025-05-11T11:28:16,462,16.80,206,31.07
2025-05-11T11:28:17,451,13.86,206,31.07
2025-05-11T11:28:18,465,17.67,209,31.82
2025-05-11T11:28:19,459,15.96,209,31.82
2025-05-11T11:28:20,446,12.65,208,31.57
2025-05-11T11:28:21,473,20.15,208,31.57
2025-05-11T11:28:22,460,16.23,207,31.32
2025-05-11T11:28:23,465,17.67,207,31.32
2025-05-11T11:28:24,480,22.52,206,31.07
2025-05-11T11:28:25,466,17.97,205,30.82
2025-05-11T11:28:26,465,17.67,205,30.82
2025-05-11T11:28:27,457,15.41,204,30.57
2025-05-11T11:28:29,467,18.27,207,31.32
2025-05-11T11:28:30,465,17.67,208,31.57
2025-05-11T11:28:31,455,14.88,207,31.32
2025-05-11T11:28:32,476,21.14,207,31.32
2025-05-11T11:28:33,480,22.52,206,31.07
2025-05-11T11:28:34,471,19.51,205,30.82
2025-05-11T11:28:35,474,20.48,204,30.57
2025-05-11T11:28:36,465,17.67,203,30.32
2025-05-11T11:28:37,475,20.81,206,31.07
2025-05-11T11:28:38,471,19.51,206,31.07
2025-05-11T11:28:39,471,19.51,205,30.82
2025-05-11T11:28:40,464,17.38,207,31.32
2025-05-11T11:28:41,466,17.97,208,31.57
2025-05-11T11:28:42,470,19.20,208,31.57
2025-05-11T11:28:43,465,17.67,208,31.57
2025-05-11T11:28:44,469,18.88,210,32.07
2025-05-11T11:28:45,466,17.97,210,32.07
2025-05-11T11:28:46,475,20.81,212,32.57
2025-05-11T11:28:47,480,22.52,211,32.32
2025-05-11T11:28:48,447,12.88,209,31.82
2025-05-11T11:28:49,465,17.67,211,32.32
2025-05-11T11:28:50,465,17.67,212,32.57
2025-05-11T11:28:51,480,22.52,214,33.07
2025-05-11T11:28:52,466,17.97,215,33.32
2025-05-11T11:28:53,471,19.51,214,33.07
2025-05-11T11:28:54,461,16.51,214,33.07
2025-05-11T11:28:55,464,17.38,216,33.57
2025-05-11T11:28:56,466,17.97,217,33.82
2025-05-11T11:28:57,469,18.88,217,33.82
2025-05-11T11:28:58,475,20.81,214,33.07
2025-05-11T11:28:59,474,20.48,210,32.07
2025-05-11T11:29:00,471,19.51,208,31.57
2025-05-11T11:29:01,464,17.38,210,32.07
2025-05-11T11:29:02,477,21.48,210,32.07
2025-05-11T11:29:03,480,22.52,209,31.82
2025-05-11T11:29:04,472,19.83,209,31.82
2025-05-11T11:29:05,478,21.82,211,32.32
2025-05-11T11:29:06,472,19.83,209,31.82
2025-05-11T11:29:07,475,20.81,210,32.07
2025-05-11T11:29:08,462,16.80,210,32.07
2025-05-11T11:29:09,464,17.38,212,32.57
2025-05-11T11:29:10,473,20.15,211,32.32
2025-05-11T11:29:11,466,17.97,211,32.32
2025-05-11T11:29:12,464,17.38,210,32.07
2025-05-11T11:29:13,464,17.38,210,32.07
2025-05-11T11:29:14,467,18.27,209,31.82
2025-05-11T11:29:16,460,16.23,209,31.82
2025-05-11T11:29:17,478,21.82,211,32.32
2025-05-11T11:29:18,471,19.51,211,32.32
2025-05-11T11:29:19,468,18.57,211,32.32
2025-05-11T11:29:20,459,15.96,211,32.32
2025-05-11T11:29:21,471,19.51,212,32.57
2025-05-11T11:29:22,476,21.14,214,33.07
2025-05-11T11:29:23,460,16.23,214,33.07
2025-05-11T11:29:24,470,19.20,215,33.32
2025-05-11T11:29:25,468,18.57,215,33.32
2025-05-11T11:29:26,480,22.52,215,33.32
2025-05-11T11:29:27,471,19.51,215,33.32
2025-05-11T11:29:28,470,19.20,215,33.32
2025-05-11T11:29:29,471,19.51,217,33.82
2025-05-11T11:29:30,465,17.67,219,34.32
2025-05-11T11:29:31,472,19.83,219,34.32
2025-05-11T11:29:32,467,18.27,219,34.32
2025-05-11T11:29:33,468,18.57,222,35.08
2025-05-11T11:29:34,474,20.48,224,35.58
2025-05-11T11:29:35,481,22.87,222,35.08
2025-05-11T11:29:36,468,18.57,219,34.32
2025-05-11T11:29:37,464,17.38,218,34.07
2025-05-11T11:29:38,460,16.23,218,34.07
2025-05-11T11:29:39,468,18.57,217,33.82
2025-05-11T11:29:40,462,16.80,217,33.82
2025-05-11T11:29:41,471,19.51,219,34.32
2025-05-11T11:29:42,464,17.38,220,34.58
2025-05-11T11:29:43,466,17.97,220,34.58
2025-05-11T11:29:44,461,16.51,219,34.32
2025-05-11T11:29:45,458,15.68,220,34.58
2025-05-11T11:29:46,480,22.52,221,34.83
2025-05-11T11:29:47,477,21.48,222,35.08
2025-05-11T11:29:48,481,22.87,219,34.32
2025-05-11T11:29:49,476,21.14,218,34.07
2025-05-11T11:29:50,460,16.23,216,33.57
2025-05-11T11:29:51,468,18.57,217,33.82
2025-05-11T11:29:52,471,19.51,217,33.82
2025-05-11T11:29:53,471,19.51,218,34.07
2025-05-11T11:29:54,470,19.20,217,33.82
2025-05-11T11:29:55,468,18.57,216,33.57
2025-05-11T11:29:56,472,19.83,217,33.82
2025-05-11T11:29:57,471,19.51,219,34.32
2025-05-11T11:29:58,481,22.87,216,33.57
2025-05-11T11:30:00,481,22.87,212,32.57
2025-05-11T11:30:01,481,22.87,210,32.07
2025-05-11T11:30:02,481,22.87,210,32.07
2025-05-11T11:30:03,479,22.17,210,32.07
2025-05-11T11:30:04,481,22.87,210,32.07
2025-05-11T11:30:05,476,21.14,210,32.07
2025-05-11T11:30:06,475,20.81,212,32.57
2025-05-11T11:30:07,471,19.51,212,32.57
2025-05-11T11:30:08,472,19.83,214,33.07
2025-05-11T11:30:09,481,22.87,216,33.57
2025-05-11T11:30:10,481,22.87,216,33.57
2025-05-11T11:30:11,480,22.52,215,33.32
