GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2025-05-11T12:46:42,38.5396677,-121.7987563,,128,,0.00,,65535,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.742,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:43,38.5396681,-121.7987216,,128,,3.17,,0,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.419,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:44,38.5396672,-121.7986804,,129,,6.54,,0,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.125,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:45,38.5396656,-121.7986331,,129,,10.54,,0,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.411,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:46,38.5396668,-121.7985813,,130,45,15.05,,199,,,,,,29,,,,,,,,,,,,,,,,199,152,,,,,,,,,,,,,0.0,0.0,14.0,29.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,16.225,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:47,38.5396669,-121.7985278,,130,48,19.81,,122,,,,,,29,,,,,,,,,,,,,,,,321,151,,,,,,,,,,,,,0.0,0.0,27.0,34.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,17.132,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:48,38.5396636,-121.7984717,,131,48,24.63,,38,,,,,,29,,,,,,,,,,,,,,,,321,151,,,,,,,,,,,,,0.0,0.0,27.0,34.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,17.366,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:49,38.5396624,-121.7984145,,131,26,29.57,,38,,,,,,29,,,,,,,,,,,,,,,,397,right,,,,,,,,,,,,,0.0,0.0,27.0,34.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,17.770,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:50,38.5396621,-121.7983501,,132,58,34.98,,205,,,,,,29,,,,,,,,,,,,,,,,602,156,,,,,,,,,,,,,0.0,0.0,12.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,19.483,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:51,38.5396643,-121.7982830,,133,60,40.78,,210,,,,,,29,,,,,,,,,,,,,,,,812,181,,,,,,,,,,,,,0.0,0.0,12.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,20.894,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:52,38.5396620,-121.7982138,,134,63,46.83,,168,,,,,,29,,,,,,,,,,,,,,,,980,176,,,,,,,,,,,,,0.0,0.0,31.0,29.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,21.733,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:53,38.5396596,-121.7981448,,134,63,53.02,,75,,,,,,29,,,,,,,,,,,,,,,,1055,169,,,,,,,,,,,,,0.0,0.0,31.0,29.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,22.306,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:54,38.5396566,-121.7980739,,135,65,59.22,,28,,,,,,29,,,,,,,,,,,,,,,,1083,178,,,,,,,,,,,,,0.0,0.0,31.0,29.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,22.306,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:55,38.5396553,-121.7980018,,135,66,65.37,,18,,,,,,29,,,,,,,,,,,,,,,,1101,190,,,,,,,,,,,,,0.0,0.0,13.0,15.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,22.136,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:56,38.5396558,-121.7979292,,136,66,71.51,,25,,,,,,29,,,,,,,,,,,,,,,,1126,195,,,,,,,,,,,,,0.0,0.0,14.0,24.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,22.136,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:57,38.5396543,-121.7978591,,136,66,77.67,,44,,,,,,29,,,,,,,,,,,,,,,,1170,172,,,,,,,,,,,,,0.0,0.0,30.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,22.169,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:58,38.5396537,-121.7977878,,135,67,83.85,,61,,,,,,29,,,,,,,,,,,,,,,,1231,188,,,,,,,,,,,,,0.0,0.0,30.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,22.270,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:46:59,38.5396522,-121.7977159,,135,67,90.07,,39,,,,,,29,,,,,,,,,,,,,,,,1270,165,,,,,,,,,,,,,0.0,0.0,24.0,31.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,22.370,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:47:00,38.5396521,-121.7976446,,135,67,96.35,,42,,,,,,29,,,,,,,,,,,,,,,,1312,178,,,,,,,,,,,,,0.0,0.0,26.0,32.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,22.608,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:47:01,38.5396496,-121.7975729,,134,67,102.64,,50,,,,,,29,,,,,,,,,,,,,,,,1362,189,,,,,,,,,,,,,0.0,0.0,18.0,30.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,22.640,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:47:02,38.5396464,-121.7974999,,134,68,109.04,,93,,,,,,29,,,,,,,,,,,,,,,,1455,200,,,,,,,,,,,,,0.0,0.0,23.0,33.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,23.011,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-11T12:47:03,38.5396465,-121.7974261,,134,69,115.52,,108,,,,,,29,,,,,,,,,,,,,,,,1563,197,,,,,,,,,,,,,0.0,0.0,23.0,33.0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,23.378,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
