Time,WindAD,WindMPH,TempAD,TempC
2025-05-11T11:40:28,353,1.14,181,24.81
2025-05-11T11:40:29,325,0.32,176,23.56
2025-05-11T11:40:30,320,0.24,176,23.56
2025-05-11T11:40:31,320,0.24,176,23.56
2025-05-11T11:40:32,327,0.35,177,23.81
2025-05-11T11:40:33,350,1.01,178,24.06
2025-05-11T11:40:34,355,1.22,178,24.06
2025-05-11T11:40:35,338,0.61,178,24.06
2025-05-11T11:40:36,337,0.58,178,24.06
2025-05-11T11:40:37,339,0.64,178,24.06
2025-05-11T11:40:38,355,1.22,179,24.31
2025-05-11T11:40:39,355,1.22,178,24.06
2025-05-11T11:40:40,402,4.98,179,24.31
2025-05-11T11:40:41,372,2.18,178,24.06
2025-05-11T11:40:42,369,1.98,179,24.31
2025-05-11T11:40:43,397,4.40,180,24.56
2025-05-11T11:40:44,417,7.05,180,24.56
2025-05-11T11:40:45,411,6.16,179,24.31
2025-05-11T11:40:46,420,7.53,178,24.06
2025-05-11T11:40:47,411,6.16,178,24.06
2025-05-11T11:40:48,420,7.53,179,24.31
2025-05-11T11:40:49,420,7.53,179,24.31
2025-05-11T11:40:50,420,7.53,181,24.81
2025-05-11T11:40:51,427,8.72,182,25.06
2025-05-11T11:40:52,451,13.86,183,25.31
2025-05-11T11:40:53,437,10.66,182,25.06
2025-05-11T11:40:54,437,10.66,182,25.06
2025-05-11T11:40:56,438,10.87,182,25.06
2025-05-11T11:40:57,425,8.37,182,25.06
2025-05-11T11:40:58,420,7.53,183,25.31
2025-05-11T11:40:59,416,6.89,182,25.06
2025-05-11T11:41:00,432,9.66,184,25.56
2025-05-11T11:41:01,453,14.36,186,26.06
2025-05-11T11:41:02,437,10.66,185,25.81
2025-05-11T11:41:03,438,10.87,186,26.06
2025-05-11T11:41:04,429,9.09,187,26.31
2025-05-11T11:41:05,438,10.87,189,26.81
2025-05-11T11:41:06,448,13.12,188,26.56
2025-05-11T11:41:07,437,10.66,186,26.06
2025-05-11T11:41:08,439,11.08,187,26.31
2025-05-11T11:41:09,442,11.74,187,26.31
2025-05-11T11:41:10,429,9.09,186,26.06
2025-05-11T11:41:11,423,8.02,186,26.06
2025-05-11T11:41:12,428,8.91,185,25.81
2025-05-11T11:41:13,425,8.37,185,25.81
2025-05-11T11:41:14,428,8.91,186,26.06
2025-05-11T11:41:15,429,9.09,187,26.31
2025-05-11T11:41:16,451,13.86,187,26.31
2025-05-11T11:41:17,450,13.61,185,25.81
2025-05-11T11:41:18,441,11.51,184,25.56
2025-05-11T11:41:19,432,9.66,185,25.81
2025-05-11T11:41:20,418,7.21,185,25.81
2025-05-11T11:41:21,431,9.47,188,26.56
2025-05-11T11:41:22,432,9.66,187,26.31
2025-05-11T11:41:23,448,13.12,188,26.56
2025-05-11T11:41:24,454,14.62,187,26.31
2025-05-11T11:41:25,435,10.25,187,26.31
2025-05-11T11:41:26,441,11.51,187,26.31
2025-05-11T11:41:27,444,12.19,188,26.56
2025-05-11T11:41:28,432,9.66,187,26.31
2025-05-11T11:41:29,454,14.62,188,26.56
2025-05-11T11:41:30,449,13.36,187,26.31
2025-05-11T11:41:31,456,15.14,187,26.31
2025-05-11T11:41:32,449,13.36,187,26.31
2025-05-11T11:41:33,435,10.25,187,26.31
2025-05-11T11:41:34,427,8.72,187,26.31
2025-05-11T11:41:35,430,9.28,187,26.31
2025-05-11T11:41:36,448,13.12,189,26.81
2025-05-11T11:41:37,433,9.85,189,26.81
2025-05-11T11:41:38,448,13.12,189,26.81
2025-05-11T11:41:39,431,9.47,190,27.06
2025-05-11T11:41:40,419,7.36,189,26.81
2025-05-11T11:41:41,433,9.85,191,27.31
2025-05-11T11:41:42,418,7.21,191,27.31
2025-05-11T11:41:44,441,11.51,192,27.56
2025-05-11T11:41:45,407,5.61,190,27.06
2025-05-11T11:41:46,426,8.55,191,27.31
2025-05-11T11:41:47,432,9.66,191,27.31
2025-05-11T11:41:48,435,10.25,192,27.56
2025-05-11T11:41:49,430,9.28,191,27.31
2025-05-11T11:41:50,427,8.72,191,27.31
2025-05-11T11:41:51,426,8.55,191,27.31
2025-05-11T11:41:52,424,8.20,191,27.31
2025-05-11T11:41:53,438,10.87,191,27.31
2025-05-11T11:41:54,443,11.96,191,27.31
2025-05-11T11:41:55,432,9.66,190,27.06
2025-05-11T11:41:56,433,9.85,191,27.31
2025-05-11T11:41:57,428,8.91,190,27.06
2025-05-11T11:41:58,428,8.91,192,27.56
2025-05-11T11:41:59,424,8.20,193,27.81
2025-05-11T11:42:00,425,8.37,193,27.81
2025-05-11T11:42:01,426,8.55,193,27.81
2025-05-11T11:42:02,428,8.91,194,28.06
2025-05-11T11:42:03,436,10.46,194,28.06
2025-05-11T11:42:04,429,9.09,194,28.06
2025-05-11T11:42:05,428,8.91,195,28.32
2025-05-11T11:42:06,430,9.28,197,28.82
2025-05-11T11:42:07,429,9.09,198,29.07
2025-05-11T11:42:08,438,10.87,199,29.32
2025-05-11T11:42:09,442,11.74,198,29.07
2025-05-11T11:42:10,467,18.27,198,29.07
2025-05-11T11:42:11,458,15.68,196,28.57
2025-05-11T11:42:12,445,12.41,194,28.06
2025-05-11T11:42:13,468,18.57,196,28.57
2025-05-11T11:42:14,450,13.61,195,28.32
2025-05-11T11:42:15,438,10.87,199,29.32
2025-05-11T11:42:16,452,14.11,202,30.07
2025-05-11T11:42:17,456,15.14,204,30.57
2025-05-11T11:42:18,475,20.81,203,30.32
2025-05-11T11:42:19,473,20.15,201,29.82
2025-05-11T11:42:20,468,18.57,199,29.32
2025-05-11T11:42:21,464,17.38,196,28.57
2025-05-11T11:42:22,463,17.09,196,28.57
2025-05-11T11:42:23,455,14.88,199,29.32
2025-05-11T11:42:24,442,11.74,201,29.82
2025-05-11T11:42:25,452,14.11,202,30.07
2025-05-11T11:42:26,448,13.12,203,30.32
2025-05-11T11:42:27,464,17.38,203,30.32
2025-05-11T11:42:29,464,17.38,202,30.07
2025-05-11T11:42:30,465,17.67,198,29.07
2025-05-11T11:42:31,448,13.12,194,28.06
2025-05-11T11:42:32,464,17.38,195,28.32
2025-05-11T11:42:33,461,16.51,195,28.32
2025-05-11T11:42:34,462,16.80,194,28.06
2025-05-11T11:42:35,434,10.05,194,28.06
2025-05-11T11:42:36,452,14.11,196,28.57
2025-05-11T11:42:37,456,15.14,198,29.07
2025-05-11T11:42:38,456,15.14,198,29.07
2025-05-11T11:42:39,458,15.68,199,29.32
2025-05-11T11:42:40,460,16.23,199,29.32
2025-05-11T11:42:41,454,14.62,199,29.32
2025-05-11T11:42:42,458,15.68,198,29.07
2025-05-11T11:42:43,462,16.80,196,28.57
2025-05-11T11:42:44,452,14.11,194,28.06
2025-05-11T11:42:45,452,14.11,194,28.06
2025-05-11T11:42:46,445,12.41,193,27.81
2025-05-11T11:42:47,449,13.36,194,28.06
2025-05-11T11:42:48,470,19.20,194,28.06
2025-05-11T11:42:49,461,16.51,194,28.06
2025-05-11T11:42:50,464,17.38,195,28.32
2025-05-11T11:42:51,456,15.14,194,28.06
2025-05-11T11:42:52,442,11.74,196,28.57
2025-05-11T11:42:53,471,19.51,200,29.57
2025-05-11T11:42:54,480,22.52,201,29.82
2025-05-11T11:42:55,472,19.83,199,29.32
