Time,WindAD,WindMPH,TempAD,TempC
2025-05-11T11:46:17,445,12.41,222,35.08
2025-05-11T11:46:18,418,7.21,214,33.07
2025-05-11T11:46:19,419,7.36,215,33.32
2025-05-11T11:46:21,410,6.02,215,33.32
2025-05-11T11:46:22,397,4.40,215,33.32
2025-05-11T11:46:23,370,2.05,216,33.57
2025-05-11T11:46:24,399,4.62,217,33.82
2025-05-11T11:46:25,405,5.35,216,33.57
2025-05-11T11:46:26,361,1.52,215,33.32
2025-05-11T11:46:27,370,2.05,217,33.82
2025-05-11T11:46:28,382,2.94,218,34.07
2025-05-11T11:46:29,391,3.76,217,33.82
2025-05-11T11:46:30,389,3.57,215,33.32
2025-05-11T11:46:31,390,3.67,215,33.32
2025-05-11T11:46:32,435,10.25,218,34.07
2025-05-11T11:46:33,419,7.36,215,33.32
2025-05-11T11:46:34,434,10.05,216,33.57
2025-05-11T11:46:35,458,15.68,217,33.82
2025-05-11T11:46:36,439,11.08,215,33.32
2025-05-11T11:46:37,434,10.05,214,33.07
2025-05-11T11:46:38,435,10.25,213,32.82
2025-05-11T11:46:39,433,9.85,212,32.57
2025-05-11T11:46:40,447,12.88,213,32.82
2025-05-11T11:46:41,447,12.88,213,32.82
2025-05-11T11:46:42,466,17.97,213,32.82
2025-05-11T11:46:43,466,17.97,213,32.82
2025-05-11T11:46:44,448,13.12,213,32.82
2025-05-11T11:46:45,448,13.12,214,33.07
2025-05-11T11:46:46,444,12.19,214,33.07
2025-05-11T11:46:47,448,13.12,214,33.07
2025-05-11T11:46:48,446,12.65,214,33.07
2025-05-11T11:46:49,448,13.12,214,33.07
2025-05-11T11:46:50,460,16.23,214,33.07
2025-05-11T11:46:51,456,15.14,214,33.07
2025-05-11T11:46:52,465,17.67,215,33.32
2025-05-11T11:46:53,460,16.23,214,33.07
2025-05-11T11:46:54,451,13.86,214,33.07
2025-05-11T11:46:55,463,17.09,215,33.32
2025-05-11T11:46:56,438,10.87,213,32.82
2025-05-11T11:46:57,466,17.97,214,33.07
2025-05-11T11:46:58,465,17.67,215,33.32
2025-05-11T11:46:59,471,19.51,215,33.32
2025-05-11T11:47:00,468,18.57,215,33.32
2025-05-11T11:47:01,432,9.66,210,32.07
2025-05-11T11:47:02,444,12.19,212,32.57
2025-05-11T11:47:03,425,8.37,211,32.32
2025-05-11T11:47:04,439,11.08,213,32.82
2025-05-11T11:47:05,442,11.74,215,33.32
2025-05-11T11:47:06,449,13.36,216,33.57
2025-05-11T11:47:07,474,20.48,219,34.32
2025-05-11T11:47:09,454,14.62,218,34.07
2025-05-11T11:47:10,466,17.97,218,34.07
2025-05-11T11:47:11,466,17.97,217,33.82
2025-05-11T11:47:12,457,15.41,216,33.57
2025-05-11T11:47:13,446,12.65,216,33.57
2025-05-11T11:47:14,442,11.74,216,33.57
2025-05-11T11:47:15,444,12.19,217,33.82
