Time,WindAD,WindMPH,TempAD,TempC
2025-05-11T11:01:58,388,3.47,177,23.81
2025-05-11T11:01:59,381,2.86,177,23.81
2025-05-11T11:02:00,376,2.47,177,23.81
2025-05-11T11:02:01,381,2.86,177,23.81
2025-05-11T11:02:02,373,2.25,176,23.56
2025-05-11T11:02:03,376,2.47,177,23.81
2025-05-11T11:02:04,380,2.77,176,23.56
2025-05-11T11:02:05,367,1.86,176,23.56
2025-05-11T11:02:06,368,1.92,176,23.56
2025-05-11T11:02:07,360,1.47,178,24.06
2025-05-11T11:02:08,359,1.42,179,24.31
2025-05-11T11:02:09,364,1.68,180,24.56
2025-05-11T11:02:11,365,1.74,180,24.56
2025-05-11T11:02:12,379,2.69,179,24.31
2025-05-11T11:02:13,372,2.18,178,24.06
2025-05-11T11:02:14,375,2.39,177,23.81
2025-05-11T11:02:15,380,2.77,177,23.81
2025-05-11T11:02:16,376,2.47,176,23.56
2025-05-11T11:02:17,362,1.57,176,23.56
2025-05-11T11:02:18,343,0.76,176,23.56
2025-05-11T11:02:19,357,1.32,177,23.81
2025-05-11T11:02:20,359,1.42,177,23.81
2025-05-11T11:02:21,363,1.63,177,23.81
2025-05-11T11:02:22,372,2.18,178,24.06
2025-05-11T11:02:23,376,2.47,176,23.56
2025-05-11T11:02:24,365,1.74,177,23.81
2025-05-11T11:02:25,367,1.86,176,23.56
2025-05-11T11:02:26,352,1.09,177,23.81
2025-05-11T11:02:27,343,0.76,178,24.06
2025-05-11T11:02:28,361,1.52,179,24.31
2025-05-11T11:02:29,369,1.98,179,24.31
2025-05-11T11:02:30,390,3.67,179,24.31
2025-05-11T11:02:31,382,2.94,179,24.31
2025-05-11T11:02:32,388,3.47,177,23.81
2025-05-11T11:02:33,383,3.02,175,23.31
2025-05-11T11:02:34,379,2.69,175,23.31
2025-05-11T11:02:35,379,2.69,175,23.31
2025-05-11T11:02:36,377,2.54,175,23.31
2025-05-11T11:02:37,364,1.68,174,23.06
2025-05-11T11:02:38,373,2.25,174,23.06
2025-05-11T11:02:39,354,1.18,174,23.06
2025-05-11T11:02:40,373,2.25,175,23.31
2025-05-11T11:02:41,358,1.37,175,23.31
2025-05-11T11:02:42,358,1.37,176,23.56
2025-05-11T11:02:43,337,0.58,177,23.81
2025-05-11T11:02:44,349,0.97,178,24.06
2025-05-11T11:02:45,341,0.70,178,24.06
2025-05-11T11:02:46,342,0.73,179,24.31
2025-05-11T11:02:47,354,1.18,180,24.56
2025-05-11T11:02:48,348,0.94,180,24.56
2025-05-11T11:02:49,370,2.05,181,24.81
2025-05-11T11:02:50,363,1.63,181,24.81
2025-05-11T11:02:51,369,1.98,180,24.56
2025-05-11T11:02:52,350,1.01,179,24.31
2025-05-11T11:02:53,364,1.68,179,24.31
2025-05-11T11:02:54,361,1.52,180,24.56
2025-05-11T11:02:55,350,1.01,180,24.56
2025-05-11T11:02:56,345,0.83,180,24.56
2025-05-11T11:02:57,353,1.14,180,24.56
2025-05-11T11:02:58,370,2.05,180,24.56
2025-05-11T11:02:59,373,2.25,178,24.06
2025-05-11T11:03:01,365,1.74,177,23.81
2025-05-11T11:03:02,387,3.38,177,23.81
2025-05-11T11:03:03,356,1.27,177,23.81
2025-05-11T11:03:04,343,0.76,178,24.06
2025-05-11T11:03:05,361,1.52,178,24.06
2025-05-11T11:03:06,362,1.57,178,24.06
2025-05-11T11:03:07,365,1.74,178,24.06
2025-05-11T11:03:08,366,1.80,178,24.06
2025-05-11T11:03:09,335,0.53,179,24.31
2025-05-11T11:03:10,333,0.48,179,24.31
2025-05-11T11:03:11,337,0.58,179,24.31
2025-05-11T11:03:12,352,1.09,180,24.56
2025-05-11T11:03:13,354,1.18,180,24.56
2025-05-11T11:03:14,359,1.42,179,24.31
2025-05-11T11:03:15,357,1.32,178,24.06
2025-05-11T11:03:16,363,1.63,178,24.06
2025-05-11T11:03:17,364,1.68,178,24.06
2025-05-11T11:03:18,355,1.22,179,24.31
2025-05-11T11:03:19,370,2.05,179,24.31
2025-05-11T11:03:20,379,2.69,178,24.06
2025-05-11T11:03:21,394,4.07,178,24.06
2025-05-11T11:03:22,390,3.67,178,24.06
2025-05-11T11:03:23,389,3.57,178,24.06
2025-05-11T11:03:24,381,2.86,177,23.81
2025-05-11T11:03:25,383,3.02,179,24.31
2025-05-11T11:03:26,393,3.97,179,24.31
2025-05-11T11:03:27,388,3.47,177,23.81
2025-05-11T11:03:28,390,3.67,177,23.81
2025-05-11T11:03:29,388,3.47,177,23.81
2025-05-11T11:03:30,396,4.29,177,23.81
2025-05-11T11:03:31,388,3.47,177,23.81
2025-05-11T11:03:32,398,4.51,176,23.56
2025-05-11T11:03:33,400,4.74,174,23.06
2025-05-11T11:03:34,389,3.57,172,22.56
