Time,WindAD,WindMPH,TempAD,TempC
2025-05-11T11:09:22,411,6.16,185,25.81
2025-05-11T11:09:23,383,3.02,179,24.31
2025-05-11T11:09:24,386,3.29,180,24.56
2025-05-11T11:09:25,362,1.57,180,24.56
2025-05-11T11:09:26,374,2.32,181,24.81
2025-05-11T11:09:27,363,1.63,181,24.81
2025-05-11T11:09:28,383,3.02,182,25.06
2025-05-11T11:09:29,372,2.18,182,25.06
2025-05-11T11:09:30,363,1.63,183,25.31
2025-05-11T11:09:31,341,0.70,183,25.31
2025-05-11T11:09:32,360,1.47,184,25.56
2025-05-11T11:09:33,395,4.18,186,26.06
2025-05-11T11:09:34,396,4.29,187,26.31
2025-05-11T11:09:35,373,2.25,186,26.06
2025-05-11T11:09:36,383,3.02,187,26.31
2025-05-11T11:09:37,404,5.23,187,26.31
2025-05-11T11:09:38,383,3.02,187,26.31
2025-05-11T11:09:39,404,5.23,188,26.56
2025-05-11T11:09:40,412,6.30,189,26.81
2025-05-11T11:09:41,392,3.86,189,26.81
2025-05-11T11:09:42,405,5.35,189,26.81
2025-05-11T11:09:43,404,5.23,189,26.81
2025-05-11T11:09:44,388,3.47,188,26.56
2025-05-11T11:09:45,415,6.74,190,27.06
2025-05-11T11:09:46,426,8.55,190,27.06
2025-05-11T11:09:47,407,5.61,188,26.56
2025-05-11T11:09:48,397,4.40,188,26.56
2025-05-11T11:09:49,410,6.02,188,26.56
2025-05-11T11:09:50,400,4.74,189,26.81
2025-05-11T11:09:51,396,4.29,191,27.31
2025-05-11T11:09:52,403,5.10,193,27.81
2025-05-11T11:09:53,402,4.98,194,28.06
2025-05-11T11:09:54,397,4.40,193,27.81
2025-05-11T11:09:55,402,4.98,193,27.81
2025-05-11T11:09:56,398,4.51,192,27.56
2025-05-11T11:09:58,408,5.75,192,27.56
2025-05-11T11:09:59,402,4.98,192,27.56
2025-05-11T11:10:00,416,6.89,191,27.31
2025-05-11T11:10:01,404,5.23,191,27.31
2025-05-11T11:10:02,395,4.18,191,27.31
2025-05-11T11:10:03,412,6.30,192,27.56
2025-05-11T11:10:04,397,4.40,192,27.56
2025-05-11T11:10:05,397,4.40,194,28.06
2025-05-11T11:10:06,401,4.86,195,28.32
2025-05-11T11:10:07,409,5.88,195,28.32
2025-05-11T11:10:08,412,6.30,197,28.82
2025-05-11T11:10:09,414,6.59,196,28.57
2025-05-11T11:10:10,418,7.21,196,28.57
2025-05-11T11:10:11,406,5.48,194,28.06
2025-05-11T11:10:12,395,4.18,193,27.81
2025-05-11T11:10:13,408,5.75,193,27.81
2025-05-11T11:10:14,414,6.59,194,28.06
2025-05-11T11:10:15,408,5.75,194,28.06
2025-05-11T11:10:16,411,6.16,195,28.32
2025-05-11T11:10:17,421,7.69,197,28.82
2025-05-11T11:10:18,428,8.91,197,28.82
2025-05-11T11:10:19,439,11.08,197,28.82
2025-05-11T11:10:20,412,6.30,195,28.32
2025-05-11T11:10:21,422,7.86,195,28.32
2025-05-11T11:10:22,422,7.86,194,28.06
2025-05-11T11:10:23,428,8.91,194,28.06
2025-05-11T11:10:24,440,11.30,193,27.81
2025-05-11T11:10:25,414,6.59,191,27.31
2025-05-11T11:10:26,399,4.62,192,27.56
2025-05-11T11:10:27,434,10.05,193,27.81
2025-05-11T11:10:28,433,9.85,194,28.06
2025-05-11T11:10:29,421,7.69,194,28.06
2025-05-11T11:10:30,421,7.69,193,27.81
2025-05-11T11:10:31,424,8.20,193,27.81
2025-05-11T11:10:32,414,6.59,194,28.06
2025-05-11T11:10:33,410,6.02,196,28.57
2025-05-11T11:10:34,411,6.16,198,29.07
2025-05-11T11:10:35,430,9.28,198,29.07
2025-05-11T11:10:36,424,8.20,196,28.57
2025-05-11T11:10:37,418,7.21,195,28.32
2025-05-11T11:10:38,423,8.02,195,28.32
2025-05-11T11:10:39,447,12.88,195,28.32
2025-05-11T11:10:40,445,12.41,195,28.32
2025-05-11T11:10:41,436,10.46,194,28.06
2025-05-11T11:10:42,457,15.41,194,28.06
2025-05-11T11:10:43,448,13.12,190,27.06
2025-05-11T11:10:44,427,8.72,188,26.56
2025-05-11T11:10:45,405,5.35,187,26.31
2025-05-11T11:10:47,410,6.02,190,27.06
2025-05-11T11:10:48,402,4.98,192,27.56
2025-05-11T11:10:49,416,6.89,194,28.06
2025-05-11T11:10:50,416,6.89,195,28.32
2025-05-11T11:10:51,435,10.25,195,28.32
2025-05-11T11:10:52,450,13.61,195,28.32
2025-05-11T11:10:53,427,8.72,194,28.06
2025-05-11T11:10:54,445,12.41,195,28.32
2025-05-11T11:10:55,439,11.08,195,28.32
2025-05-11T11:10:56,432,9.66,194,28.06
2025-05-11T11:10:57,429,9.09,195,28.32
2025-05-11T11:10:58,433,9.85,196,28.57
2025-05-11T11:10:59,418,7.21,196,28.57
2025-05-11T11:11:00,435,10.25,196,28.57
2025-05-11T11:11:01,419,7.36,196,28.57
2025-05-11T11:11:02,406,5.48,195,28.32
2025-05-11T11:11:03,425,8.37,197,28.82
2025-05-11T11:11:04,419,7.36,197,28.82
2025-05-11T11:11:05,427,8.72,198,29.07
2025-05-11T11:11:06,425,8.37,196,28.57
2025-05-11T11:11:07,413,6.45,196,28.57
2025-05-11T11:11:08,415,6.74,197,28.82
2025-05-11T11:11:09,402,4.98,197,28.82
2025-05-11T11:11:10,410,6.02,197,28.82
2025-05-11T11:11:11,404,5.23,197,28.82
2025-05-11T11:11:12,410,6.02,197,28.82
2025-05-11T11:11:13,410,6.02,197,28.82
2025-05-11T11:11:14,413,6.45,197,28.82
2025-05-11T11:11:15,407,5.61,199,29.32
2025-05-11T11:11:16,397,4.40,198,29.07
2025-05-11T11:11:17,399,4.62,198,29.07
2025-05-11T11:11:18,403,5.10,198,29.07
2025-05-11T11:11:19,389,3.57,200,29.57
2025-05-11T11:11:20,415,6.74,204,30.57
2025-05-11T11:11:21,422,7.86,205,30.82
2025-05-11T11:11:22,413,6.45,206,31.07
2025-05-11T11:11:23,423,8.02,206,31.07
2025-05-11T11:11:24,425,8.37,208,31.57
2025-05-11T11:11:25,435,10.25,208,31.57
2025-05-11T11:11:26,446,12.65,207,31.32
2025-05-11T11:11:27,433,9.85,205,30.82
2025-05-11T11:11:28,426,8.55,205,30.82
2025-05-11T11:11:29,445,12.41,206,31.07
2025-05-11T11:11:30,439,11.08,206,31.07
2025-05-11T11:11:32,443,11.96,207,31.32
2025-05-11T11:11:33,447,12.88,208,31.57
2025-05-11T11:11:34,454,14.62,208,31.57
2025-05-11T11:11:35,448,13.12,205,30.82
2025-05-11T11:11:36,436,10.46,203,30.32
2025-05-11T11:11:37,425,8.37,202,30.07
2025-05-11T11:11:38,435,10.25,204,30.57
2025-05-11T11:11:39,430,9.28,203,30.32
2025-05-11T11:11:40,440,11.30,205,30.82
2025-05-11T11:11:41,438,10.87,204,30.57
2025-05-11T11:11:42,434,10.05,204,30.57
2025-05-11T11:11:43,450,13.61,205,30.82
2025-05-11T11:11:44,447,12.88,203,30.32
2025-05-11T11:11:45,449,13.36,201,29.82
2025-05-11T11:11:46,447,12.88,199,29.32
2025-05-11T11:11:47,423,8.02,197,28.82
2025-05-11T11:11:48,422,7.86,199,29.32
2025-05-11T11:11:49,441,11.51,201,29.82
2025-05-11T11:11:50,426,8.55,201,29.82
2025-05-11T11:11:51,427,8.72,201,29.82
2025-05-11T11:11:52,448,13.12,202,30.07
2025-05-11T11:11:53,430,9.28,200,29.57
2025-05-11T11:11:54,426,8.55,199,29.32
2025-05-11T11:11:55,417,7.05,199,29.32
2025-05-11T11:11:56,412,6.30,202,30.07
2025-05-11T11:11:57,419,7.36,204,30.57
2025-05-11T11:11:58,409,5.88,203,30.32
2025-05-11T11:11:59,404,5.23,203,30.32
2025-05-11T11:12:00,398,4.51,204,30.57
2025-05-11T11:12:01,419,7.36,205,30.82
2025-05-11T11:12:02,407,5.61,205,30.82
2025-05-11T11:12:03,407,5.61,206,31.07
2025-05-11T11:12:04,413,6.45,208,31.57
2025-05-11T11:12:05,414,6.59,210,32.07
2025-05-11T11:12:06,428,8.91,211,32.32
2025-05-11T11:12:07,442,11.74,212,32.57
2025-05-11T11:12:08,439,11.08,212,32.57
2025-05-11T11:12:09,445,12.41,212,32.57
2025-05-11T11:12:10,438,10.87,211,32.32
2025-05-11T11:12:11,438,10.87,211,32.32
2025-05-11T11:12:12,447,12.88,211,32.32
2025-05-11T11:12:13,441,11.51,211,32.32
2025-05-11T11:12:14,441,11.51,210,32.07
2025-05-11T11:12:16,438,10.87,210,32.07
2025-05-11T11:12:17,449,13.36,211,32.32
2025-05-11T11:12:18,436,10.46,210,32.07
2025-05-11T11:12:19,421,7.69,208,31.57
2025-05-11T11:12:20,417,7.05,208,31.57
2025-05-11T11:12:21,406,5.48,208,31.57
2025-05-11T11:12:22,428,8.91,210,32.07
2025-05-11T11:12:23,425,8.37,210,32.07
2025-05-11T11:12:24,431,9.47,210,32.07
2025-05-11T11:12:25,420,7.53,208,31.57
2025-05-11T11:12:26,413,6.45,208,31.57
2025-05-11T11:12:27,428,8.91,209,31.82
2025-05-11T11:12:28,430,9.28,211,32.32
2025-05-11T11:12:29,433,9.85,212,32.57
2025-05-11T11:12:30,438,10.87,213,32.82
2025-05-11T11:12:31,426,8.55,213,32.82
2025-05-11T11:12:32,435,10.25,213,32.82
2025-05-11T11:12:33,447,12.88,213,32.82
2025-05-11T11:12:34,427,8.72,211,32.32
2025-05-11T11:12:35,432,9.66,212,32.57
2025-05-11T11:12:36,437,10.66,212,32.57
2025-05-11T11:12:37,447,12.88,215,33.32
2025-05-11T11:12:38,437,10.66,214,33.07
2025-05-11T11:12:39,453,14.36,213,32.82
2025-05-11T11:12:40,458,15.68,212,32.57
2025-05-11T11:12:41,442,11.74,208,31.57
2025-05-11T11:12:42,442,11.74,204,30.57
2025-05-11T11:12:43,440,11.30,203,30.32
2025-05-11T11:12:44,433,9.85,205,30.82
2025-05-11T11:12:45,428,8.91,206,31.07
2025-05-11T11:12:46,438,10.87,208,31.57
2025-05-11T11:12:47,437,10.66,208,31.57
2025-05-11T11:12:48,442,11.74,207,31.32
2025-05-11T11:12:49,446,12.65,203,30.32
2025-05-11T11:12:50,446,12.65,203,30.32
2025-05-11T11:12:51,436,10.46,203,30.32
2025-05-11T11:12:52,440,11.30,203,30.32
2025-05-11T11:12:53,443,11.96,204,30.57
2025-05-11T11:12:54,445,12.41,203,30.32
2025-05-11T11:12:55,439,11.08,203,30.32
2025-05-11T11:12:56,439,11.08,206,31.07
2025-05-11T11:12:57,443,11.96,207,31.32
2025-05-11T11:12:59,448,13.12,208,31.57
2025-05-11T11:13:00,462,16.80,209,31.82
2025-05-11T11:13:01,469,18.88,211,32.32
2025-05-11T11:13:02,449,13.36,211,32.32
2025-05-11T11:13:03,455,14.88,212,32.57
2025-05-11T11:13:04,452,14.11,212,32.57
2025-05-11T11:13:05,461,16.51,212,32.57
2025-05-11T11:13:06,455,14.88,210,32.07
2025-05-11T11:13:07,449,13.36,209,31.82
2025-05-11T11:13:08,459,15.96,210,32.07
2025-05-11T11:13:09,458,15.68,210,32.07
2025-05-11T11:13:10,469,18.88,211,32.32
2025-05-11T11:13:11,449,13.36,210,32.07
2025-05-11T11:13:12,479,22.17,211,32.32
2025-05-11T11:13:13,462,16.80,210,32.07
2025-05-11T11:13:14,463,17.09,209,31.82
2025-05-11T11:13:15,461,16.51,209,31.82
2025-05-11T11:13:16,462,16.80,208,31.57
2025-05-11T11:13:17,465,17.67,207,31.32
2025-05-11T11:13:18,467,18.27,207,31.32
2025-05-11T11:13:19,459,15.96,207,31.32
2025-05-11T11:13:20,458,15.68,208,31.57
2025-05-11T11:13:21,448,13.12,210,32.07
2025-05-11T11:13:22,456,15.14,212,32.57
2025-05-11T11:13:23,446,12.65,212,32.57
2025-05-11T11:13:24,475,20.81,214,33.07
2025-05-11T11:13:25,474,20.48,212,32.57
2025-05-11T11:13:26,465,17.67,211,32.32
2025-05-11T11:13:27,450,13.61,212,32.57
2025-05-11T11:13:28,460,16.23,214,33.07
2025-05-11T11:13:29,450,13.61,212,32.57
2025-05-11T11:13:30,450,13.61,213,32.82
2025-05-11T11:13:31,456,15.14,215,33.32
2025-05-11T11:13:32,475,20.81,215,33.32
2025-05-11T11:13:33,448,13.12,214,33.07
2025-05-11T11:13:34,469,18.88,215,33.32
2025-05-11T11:13:35,473,20.15,215,33.32
2025-05-11T11:13:36,455,14.88,213,32.82
2025-05-11T11:13:37,454,14.62,215,33.32
2025-05-11T11:13:38,477,21.48,217,33.82
2025-05-11T11:13:39,480,22.52,217,33.82
2025-05-11T11:13:40,481,22.87,217,33.82
2025-05-11T11:13:41,480,22.52,218,34.07
2025-05-11T11:13:42,480,22.52,214,33.07
2025-05-11T11:13:44,480,22.52,213,32.82
2025-05-11T11:13:45,455,14.88,212,32.57
2025-05-11T11:13:46,461,16.51,214,33.07
2025-05-11T11:13:47,461,16.51,211,32.32
2025-05-11T11:13:48,462,16.80,212,32.57
2025-05-11T11:13:49,480,22.52,212,32.57
2025-05-11T11:13:50,478,21.82,211,32.32
2025-05-11T11:13:51,456,15.14,208,31.57
2025-05-11T11:13:52,457,15.41,209,31.82
2025-05-11T11:13:53,462,16.80,209,31.82
2025-05-11T11:13:54,459,15.96,210,32.07
2025-05-11T11:13:55,462,16.80,212,32.57
2025-05-11T11:13:56,481,22.87,212,32.57
2025-05-11T11:13:57,473,20.15,209,31.82
2025-05-11T11:13:58,466,17.97,208,31.57
2025-05-11T11:13:59,457,15.41,207,31.32
2025-05-11T11:14:00,471,19.51,207,31.32
2025-05-11T11:14:01,438,10.87,204,30.57
2025-05-11T11:14:02,458,15.68,204,30.57
2025-05-11T11:14:03,439,11.08,204,30.57
2025-05-11T11:14:04,444,12.19,206,31.07
2025-05-11T11:14:05,460,16.23,207,31.32
2025-05-11T11:14:06,439,11.08,206,31.07
2025-05-11T11:14:07,443,11.96,208,31.57
2025-05-11T11:14:08,448,13.12,213,32.82
2025-05-11T11:14:09,470,19.20,217,33.82
2025-05-11T11:14:10,481,22.87,218,34.07
2025-05-11T11:14:11,453,14.36,216,33.57
2025-05-11T11:14:12,432,9.66,216,33.57
2025-05-11T11:14:13,443,11.96,218,34.07
2025-05-11T11:14:14,407,5.61,217,33.82
2025-05-11T11:14:15,421,7.69,218,34.07
2025-05-11T11:14:16,432,9.66,217,33.82
